Longitude,Latitude
709629.0253092402,-7605346.53797183
709629.0253092402,-7613529.9625080405
709629.0253092402,-7621713.387044252
709629.0253092402,-7629896.811580463
709629.0253092402,-7638080.236116674
709629.0253092402,-7646263.660652885
709629.0253092402,-7654447.085189096
709629.0253092402,-7662630.509725307
709629.0253092402,-7670813.9342615185
709629.0253092402,-7678997.358797729
709629.0253092402,-7687180.78333394
709629.0253092402,-7695364.207870151
709629.0253092402,-7703547.632406362
709629.0253092402,-7711731.056942574
709629.0253092402,-7719914.481478784
709629.0253092402,-7728097.906014996
709629.0253092402,-7736281.330551206
709629.0253092402,-7744464.755087418
709629.0253092402,-7752648.179623628
709629.0253092402,-7760831.604159839
709629.0253092402,-7769015.028696051
709629.0253092402,-7777198.453232261
709629.0253092402,-7785381.877768473
709629.0253092402,-7793565.302304683
709629.0253092402,-7801748.726840895
709629.0253092402,-7809932.151377106
709629.0253092402,-7818115.575913317
709629.0253092402,-7826299.000449528
709629.0253092402,-7834482.4249857385
709629.0253092402,-7842665.84952195
709629.0253092402,-7850849.27405816
709629.0253092402,-7859032.698594372
709629.0253092402,-7867216.123130583
709629.0253092402,-7875399.547666794
709629.0253092402,-7883582.972203005
709629.0253092402,-7891766.396739216
709629.0253092402,-7899949.821275427
709629.0253092402,-7908133.245811638
709629.0253092402,-7916316.670347849
709629.0253092402,-7924500.09488406
709629.0253092402,-7932683.519420271
709629.0253092402,-7940866.943956482
709629.0253092402,-7949050.368492693
709629.0253092402,-7957233.793028904
709629.0253092402,-7965417.217565116
709629.0253092402,-7973600.642101326
709629.0253092402,-7981784.066637537
709629.0253092402,-7989967.491173748
709629.0253092402,-7998150.915709959
709629.0253092402,-8006334.340246171
709629.0253092402,-8014517.764782381
709629.0253092402,-8022701.189318593
709629.0253092402,-8030884.613854803
709629.0253092402,-8039068.038391015
709629.0253092402,-8047251.462927225
709629.0253092402,-8055434.887463436
709629.0253092402,-8063618.311999648
709629.0253092402,-8071801.736535858
709629.0253092402,-8079985.16107207
709629.0253092402,-8088168.58560828
709629.0253092402,-8096352.010144492
709629.0253092402,-8104535.434680703
709629.0253092402,-8112718.859216914
